RANK,TEAM,PLAYERS_SEASON_CUMULATIVE,CASH_SEASON_CUMULATIVE,SEASON
1,DEN,11,980223353,2015
2,TOR,7,670427009,2015
3,PHX,9,597759939,2015
4,GSW,12,549018745,2015
5,SAC,13,503457706,2015
6,MIN,6,472520316,2015
7,LAL,11,443776798,2015
8,CHA,11,415914941,2015
9,NOP,14,353262663,2015
10,UTA,10,313376675,2015
11,WAS,12,300186627,2015
12,CLE,7,253086088,2015
13,MIL,10,223398870,2015
14,ORL,9,222107304,2015
15,BKN,10,217645648,2015
16,BOS,10,211167610,2015
17,DAL,10,203664377,2015
18,NYK,9,189095259,2015
19,MEM,13,162571042,2015
20,CHI,10,151395585,2015
21,LAC,7,146539970,2015
22,OKC,7,137981910,2015
23,DET,7,131499506,2015
24,PHI,14,101856790,2015
25,ATL,8,90719352,2015
26,IND,9,87281520,2015
27,POR,10,80096683,2015
28,MIA,13,61528140,2015
29,SAS,7,58379076,2015
30,HOU,10,53532813,2015
1,MIA,17,36354295,2016
2,PHI,14,29918704,2016
3,POR,10,18639749,2016
4,MEM,12,18550542,2016
5,DAL,12,17820924,2016
6,NYK,13,17428419,2016
7,MIN,9,16050103,2016
8,NOP,13,15995984,2016
9,MIL,14,15807466,2016
10,UTA,11,15526449,2016
11,SAC,12,15405512,2016
12,CLE,12,15267984,2016
13,DEN,12,15081240,2016
14,LAC,11,14273716,2016
15,SAS,13,11975096,2016
16,CHA,15,11739613,2016
17,TOR,12,11529668,2016
18,WAS,9,11108845,2016
19,ORL,10,10451912,2016
20,IND,14,10107860,2016
21,GSW,13,9382461,2016
22,BKN,11,9010347,2016
23,PHX,11,8837425,2016
24,BOS,10,8531550,2016
25,DET,10,8228134,2016
26,ATL,11,7823159,2016
27,LAL,11,6398028,2016
28,OKC,10,5428653,2016
29,HOU,10,5160805,2016
30,CHI,8,4710172,2016
1,BOS,13,41815454,2017
2,MEM,14,41479723,2017
3,LAC,11,34652832,2017
4,PHX,15,29807787,2017
5,NOP,14,29701621,2017
6,GSW,13,28119973,2017
7,SAS,12,27335868,2017
8,CLE,15,26324900,2017
9,DEN,14,24314753,2017
10,ORL,12,23767199,2017
11,MIL,14,22535280,2017
12,MIA,15,22238999,2017
13,DET,10,22015486,2017
14,NYK,14,21259744,2017
15,UTA,11,19522020,2017
16,BKN,16,19116862,2017
17,HOU,14,18667975,2017
18,PHI,16,16612734,2017
19,CHA,11,16033733,2017
20,DAL,12,15534682,2017
21,ATL,13,15045252,2017
22,WAS,10,13628137,2017
23,CHI,11,10169177,2017
24,LAL,11,10035591,2017
25,OKC,8,9651941,2017
26,SAC,13,9097344,2017
27,POR,9,8917471,2017
28,MIN,9,6353175,2017
29,IND,9,6328796,2017
30,TOR,11,4923230,2017
1,CLE,16,51750706,2018
2,MEM,17,34895162,2018
3,MIA,13,27627953,2018
4,HOU,18,26823680,2018
5,WAS,12,25579178,2018
6,MIN,12,25541797,2018
7,ORL,13,23039657,2018
8,CHI,13,22540801,2018
9,LAL,13,22354389,2018
10,DEN,13,22257526,2018
11,NOP,13,21660447,2018
12,TOR,14,21296502,2018
13,OKC,12,18745139,2018
14,NYK,18,18231328,2018
15,PHI,17,18004052,2018
16,GSW,14,17785145,2018
17,BKN,13,17510750,2018
18,ATL,14,16874253,2018
19,BOS,14,16257868,2018
20,MIL,19,15857498,2018
21,IND,13,15371256,2018
22,LAC,12,13143267,2018
23,DAL,16,13083343,2018
24,PHX,14,12609768,2018
25,UTA,13,12314088,2018
26,CHA,11,11669643,2018
27,POR,11,8604727,2018
28,DET,13,7854416,2018
29,SAS,11,7654411,2018
30,SAC,10,6037807,2018
1,LAC,17,80417745,2021
2,BKN,21,69215598,2021
3,POR,24,57876380,2021
4,HOU,16,57263473,2021
5,GSW,14,57158378,2021
6,IND,20,52224612,2021
7,ORL,19,45974210,2021
8,DEN,18,45834169,2021
9,LAL,15,40673571,2021
10,PHI,20,40059588,2021
11,MIL,20,37141018,2021
